run_name,config,backbone,freeze_backbone,pretrained,train_fraction,condition,adapter,probe_comparable,arm,window,arm_n_fine_source
ls_merlinISO_ft_pt_f001,configs/lowshot/ls_merlinISO_ft_pt_f001.yaml,merlin_isotropic,False,True,0.01,ft_pt,native,True,N,native,fresh_stem_s0
ls_merlinISO_ft_pt_f005,configs/lowshot/ls_merlinISO_ft_pt_f005.yaml,merlin_isotropic,False,True,0.05,ft_pt,native,True,N,native,fresh_stem_s0
ls_merlinISO_ft_pt_f010,configs/lowshot/ls_merlinISO_ft_pt_f010.yaml,merlin_isotropic,False,True,0.1,ft_pt,native,True,N,native,fresh_stem_s0
ls_merlinISO_ft_pt_f025,configs/lowshot/ls_merlinISO_ft_pt_f025.yaml,merlin_isotropic,False,True,0.25,ft_pt,native,True,N,native,fresh_stem_s0
ls_merlinISO_ft_pt_f100,configs/lowshot/ls_merlinISO_ft_pt_f100.yaml,merlin_isotropic,False,True,1.0,ft_pt,native,True,N,native,fresh_stem_s0
ls_merlinISO_ft_sc_f001,configs/lowshot/ls_merlinISO_ft_sc_f001.yaml,merlin_isotropic,False,False,0.01,ft_sc,native,True,N,native,fresh_stem_s0
ls_merlinISO_ft_sc_f005,configs/lowshot/ls_merlinISO_ft_sc_f005.yaml,merlin_isotropic,False,False,0.05,ft_sc,native,True,N,native,fresh_stem_s0
ls_merlinISO_ft_sc_f010,configs/lowshot/ls_merlinISO_ft_sc_f010.yaml,merlin_isotropic,False,False,0.1,ft_sc,native,True,N,native,fresh_stem_s0
ls_merlinISO_ft_sc_f025,configs/lowshot/ls_merlinISO_ft_sc_f025.yaml,merlin_isotropic,False,False,0.25,ft_sc,native,True,N,native,fresh_stem_s0
ls_merlinISO_ft_sc_f100,configs/lowshot/ls_merlinISO_ft_sc_f100.yaml,merlin_isotropic,False,False,1.0,ft_sc,native,True,N,native,fresh_stem_s0
